Date,Week,Time,HomeTeam,AwayTeam,FixtureID,FTR
30/10/2020,7,20:00:00,Wolves,Crystal Palace,58,H
31/10/2020,7,12:30:00,Sheffield Utd,Manchester City,59,A
31/10/2020,7,15:00:00,Burnley,Chelsea,60,A
31/10/2020,7,17:30:00,Liverpool,West Ham,61,H
01/11/2020,7,12:00:00,Aston Villa,Southampton,62,A
01/11/2020,7,14:00:00,Newcastle,Everton,63,H
01/11/2020,7,16:30:00,Manchester United,Arsenal,64,A
01/11/2020,7,19:15:00,Tottenham,Brighton,65,H
02/11/2020,7,17:30:00,Fulham,West Brom,66,H
02/11/2020,7,20:00:00,Leeds,Leicester,67,A