HomeTeam,AwayTeam,p(H),p(A),p(D),APPLE Prediction
Everton,West Brom,0.45869637,0.23157626,0.30972743,H
Leeds,Fulham,0.82090634,0.05856711,0.120526515,H
Man United,Crystal Palace,0.5632813,0.14811978,0.28859895,H
Arsenal,West Ham,0.72723097,0.09663145,0.17613749,H
Southampton,Tottenham,0.21066579,0.46721655,0.32211757,A
Newcastle,Brighton,0.4370754,0.23979525,0.32312927,H
Chelsea,Liverpool,0.15734094,0.52752614,0.31513295,A
Leicester,Burnley,0.38775736,0.36347365,0.248769,H
Aston Villa,Sheffield United,0.3699977,0.2520101,0.3779921,D
Wolves,Man City,0.22596207,0.6387721,0.1352658,A